index,type,class_idx,feature_idx
22167,weight,10,1687
22177,weight,10,1697
22190,weight,10,1710
22194,weight,10,1714
22197,weight,10,1717
22199,weight,10,1719
22205,weight,10,1725
22207,weight,10,1727
22208,weight,10,1728
22209,weight,10,1729
22210,weight,10,1730
22212,weight,10,1732
22214,weight,10,1734
22215,weight,10,1735
22220,weight,10,1740
22221,weight,10,1741
22226,weight,10,1746
22227,weight,10,1747
22230,weight,10,1750
22233,weight,10,1753
22239,weight,10,1759
22254,weight,10,1774
22256,weight,10,1776
22262,weight,10,1782
22263,weight,10,1783
22266,weight,10,1786
22271,weight,10,1791
22275,weight,10,1795
22276,weight,10,1796
22288,weight,10,1808
22290,weight,10,1810
22292,weight,10,1812
22295,weight,10,1815
22299,weight,10,1819
22301,weight,10,1821
22303,weight,10,1823
22307,weight,10,1827
22311,weight,10,1831
22314,weight,10,1834
22315,weight,10,1835
22316,weight,10,1836
22322,weight,10,1842
22329,weight,10,1849
22340,weight,10,1860
22342,weight,10,1862
22344,weight,10,1864
22346,weight,10,1866
22349,weight,10,1869
22355,weight,10,1875
22358,weight,10,1878
22362,weight,10,1882
22364,weight,10,1884
22365,weight,10,1885
22367,weight,10,1887
22370,weight,10,1890
22372,weight,10,1892
22375,weight,10,1895
22383,weight,10,1903
22389,weight,10,1909
22390,weight,10,1910
22391,weight,10,1911
22400,weight,10,1920
22402,weight,10,1922
22408,weight,10,1928
22415,weight,10,1935
22418,weight,10,1938
22419,weight,10,1939
22421,weight,10,1941
22428,weight,10,1948
22432,weight,10,1952
22433,weight,10,1953
22434,weight,10,1954
22436,weight,10,1956
22445,weight,10,1965
22450,weight,10,1970
22451,weight,10,1971
22453,weight,10,1973
22455,weight,10,1975
22464,weight,10,1984
22465,weight,10,1985
22469,weight,10,1989
22478,weight,10,1998
22483,weight,10,2003
22486,weight,10,2006
22487,weight,10,2007
22491,weight,10,2011
22497,weight,10,2017
22498,weight,10,2018
22512,weight,10,2032
22514,weight,10,2034
22515,weight,10,2035
22520,weight,10,2040
22527,weight,10,2047
22536,weight,11,8
22537,weight,11,9
22546,weight,11,18
22547,weight,11,19
22553,weight,11,25
22559,weight,11,31
22562,weight,11,34
22564,weight,11,36
22565,weight,11,37
22568,weight,11,40
22576,weight,11,48
22580,weight,11,52
22586,weight,11,58
22597,weight,11,69
22598,weight,11,70
22605,weight,11,77
22610,weight,11,82
22629,weight,11,101
22643,weight,11,115
22644,weight,11,116
22651,weight,11,123
22661,weight,11,133
22665,weight,11,137
22669,weight,11,141
22676,weight,11,148
22695,weight,11,167
22702,weight,11,174
22709,weight,11,181
22710,weight,11,182
22713,weight,11,185
22725,weight,11,197
22738,weight,11,210
22739,weight,11,211
22740,weight,11,212
22746,weight,11,218
22759,weight,11,231
22764,weight,11,236
22765,weight,11,237
22771,weight,11,243
22775,weight,11,247
22780,weight,11,252
22783,weight,11,255
22785,weight,11,257
22787,weight,11,259
22795,weight,11,267
22796,weight,11,268
22809,weight,11,281
22815,weight,11,287
22826,weight,11,298
22828,weight,11,300
22836,weight,11,308
22842,weight,11,314
22843,weight,11,315
22847,weight,11,319
22850,weight,11,322
22851,weight,11,323
22852,weight,11,324
22857,weight,11,329
22862,weight,11,334
22866,weight,11,338
22872,weight,11,344
22873,weight,11,345
22879,weight,11,351
22900,weight,11,372
22904,weight,11,376
22910,weight,11,382
22917,weight,11,389
22919,weight,11,391
22927,weight,11,399
